Region,Country,Year,All Types,Beer,Other,Spirits,Wine
Americas,Argentina,2011,1.43,0.25,0,1.17,0
Americas,Argentina,2012,2.08,0.89,0,1.18,0.01
Americas,Argentina,2013,3.91,2.07,0,0,0.02
Americas,Argentina,2014,5.03,2.1,2.22,0,0.08
Europe,Armenia,2000,6.15,2.53,3.1,0,0.08
Europe,Armenia,2001,7.7,4.2,0,2.1,1.4
Europe,Armenia,2002,8.3,4.2,0.2,2.1,1.8
Europe,Armenia,2003,8.2,3.9,0.2,2.1,2
Europe,Armenia,2004,1.49,0.28,1.15,0.04,0.02
Europe,Armenia,2005,1.52,0.32,1.17,0.02,0.01
Europe,Armenia,2006,0.3,0.18,0.11,0,0
Europe,Armenia,2007,0.41,0.23,0.15,0.02,0
Europe,Armenia,2008,0.56,0.38,0.12,0.04,0.02
Europe,Armenia,2009,6.06,1.76,0.01,1.9,2.38
Europe,Armenia,2010,7.39,2.34,0,2.22,2.22
Europe,Armenia,2011,6.76,2.48,0.23,1.83,2.67
Europe,Armenia,2012,2.91,0.97,0,1.8,0.14
Europe,Armenia,2013,3.88,1.48,0,2.31,0.06
Europe,Armenia,2014,5.74,1.82,0,3.7,0.22
Western Pacific,Australia,2000,4.45,2.73,0.03,1.65,0.02
Western Pacific,Australia,2001,4.66,3.18,0.02,1.41,0.04
Western Pacific,Australia,2002,4.44,3.05,0.02,1.31,0.05
Western Pacific,Australia,2003,0.08,0.02,0,0.04,0.03
Western Pacific,Australia,2004,0.16,0.05,0,0.07,0.02
Western Pacific,Australia,2005,2.26,1.6,0,0.43,0.05
Western Pacific,Australia,2006,2.03,1.54,0,0.26,0.32
Western Pacific,Australia,2007,3.53,2.9,0,0.35,0.27
Western Pacific,Australia,2008,7.53,2.46,0,3.8,0.22
Western Pacific,Australia,2009,8.07,2.36,0,4.42,1.64
Western Pacific,Australia,2010,4.29,2.25,0,1.91,0.18
Western Pacific,Australia,2011,4.15,2.32,0.04,1.62,0.17
Western Pacific,Australia,2012,3.41,2.07,0.04,1.09,0.19
Western Pacific,Australia,2013,13.15,5.2,0.04,1.82,5.82
Western Pacific,Australia,2014,11.83,4.99,0.38,1.27,5.1
Europe,Austria,2000,12.19,4.7,0.39,1.2,6.05
Europe,Austria,2001,4.04,1.31,0,2.69,0.04
Europe,Austria,2002,4.17,1.56,0.03,2.53,0.05
Europe,Austria,2003,4.14,1.63,0.02,2.43,0.09
Europe,Austria,2004,10.16,3.71,0,3.97,2.52
Europe,Austria,2005,11.47,3.58,0,4.97,2.79
Europe,Austria,2006,10.69,3.53,0,4.6,2.67
Europe,Austria,2007,13.47,7.64,0,3.97,1.84
Europe,Austria,2008,13.43,7.03,0,3.9,2.3
Europe,Austria,2009,12.71,6.96,0,3.14,2.56
Europe,Austria,2010,3.08,0.2,0,2.88,0
Europe,Austria,2011,3.13,0.18,0,2.94,0
Europe,Austria,2012,3.61,0.09,0,3.52,0
Europe,Austria,2013,1.83,0.27,1.54,0.01,0
Europe,Austria,2014,2.09,0.55,1.23,0.08,0.02
Europe,Azerbaijan,2000,11.56,5.57,0,1.39,4.53
Europe,Azerbaijan,2001,11.02,4.92,0.07,1.69,4.44
Europe,Azerbaijan,2002,10.47,3.81,0.1,1.51,4.92
Europe,Azerbaijan,2003,0.95,0.22,0,0.67,0.03
Europe,Azerbaijan,2004,1.02,0.2,0.03,0.75,0.08
Europe,Azerbaijan,2005,0.39,0.12,0,0.19,0.05
Europe,Azerbaijan,2006,8.74,1,0.04,6.82,1.08
Europe,Azerbaijan,2007,8.62,0.77,0.03,7.11,0.86
Europe,Azerbaijan,2008,5.46,0.11,0.09,4.79,0.74
Europe,Azerbaijan,2009,5.16,2.04,0.05,2.94,0.16
Europe,Azerbaijan,2010,6.05,3.19,0.07,2.65,0.15
Europe,Azerbaijan,2011,5.92,3.35,0.06,2.29,0.2
Europe,Azerbaijan,2012,3.65,1.81,0.01,1.77,0.05
Europe,Azerbaijan,2013,3.52,2.1,0.01,1.36,0.04
Americas,Bahamas,2000,3.99,2.78,0.02,1.15,0.05
Americas,Bahamas,2001,0.14,0.06,0,0.06,0.01
Americas,Bahamas,2002,0.18,0.11,0,0.05,0.02
Americas,Bahamas,2003,0.22,0.14,0,0.07,0.02
Americas,Bahamas,2004,2.88,1.12,0,1.75,0.04
Americas,Bahamas,2005,2.77,1.06,0,1.67,0.03
Americas,Bahamas,2006,2.37,1.01,0,1.32,0.04
Americas,Bahamas,2007,5.07,0.81,0,0,3.77
Americas,Bahamas,2008,7.28,3.41,0,0,4.06
Americas,Bahamas,2009,10.99,7.47,0,0,3.67
Americas,Bahamas,2010,0.83,0.43,0.38,0.02,0
Americas,Bahamas,2011,1.23,0.38,0.85,0,0
Americas,Bahamas,2012,11.48,4.99,1.32,4.37,0
Americas,Bahamas,2013,17.87,6.5,2.06,7.87,1.5
Americas,Bahamas,2014,0.85,0.2,0.61,0.03,0.01
Eastern Mediterranean,Bahrain,2000,1.22,0.34,0.8,0.07,0.01
Eastern Mediterranean,Bahrain,2001,1.32,0.35,0.91,0.05,0
Eastern Mediterranean,Bahrain,2002,1.85,1.67,0,0.16,0.11
Eastern Mediterranean,Bahrain,2003,2.09,1.36,0,0.71,0.02
Eastern Mediterranean,Bahrain,2004,8.94,4.37,1.06,2.32,1.07
Eastern Mediterranean,Bahrain,2005,10.15,4.57,1.17,2.86,1.47
Eastern Mediterranean,Bahrain,2006,9.81,4.61,1.21,2.25,1.7
Eastern Mediterranean,Bahrain,2007,13.89,2.15,0.56,2.77,8.59
Eastern Mediterranean,Bahrain,2008,12.4,2.4,0.2,2.7,7.1
Eastern Mediterranean,Bahrain,2009,11.8,2.1,0.2,2.6,6.6
Eastern Mediterranean,Bahrain,2010,9.29,6.05,0,1.69,1.52
Eastern Mediterranean,Bahrain,2011,8.01,5.55,0.02,1.46,0.85
Eastern Mediterranean,Bahrain,2012,8.9,5.79,0.04,1.94,1.17
Eastern Mediterranean,Bahrain,2013,2.08,0.2,1.82,0.01,0.02
Eastern Mediterranean,Bahrain,2014,2.64,0.24,2.29,0.05,0.03
South-East Asia,Bangladesh,2000,3.28,0.41,0,1.3,0.02
South-East Asia,Bangladesh,2001,4.7,0.78,0,1.91,1.27
South-East Asia,Bangladesh,2002,7.24,1.36,0,2.11,3.79
South-East Asia,Bangladesh,2003,12.91,7.16,0,2.57,2.5
South-East Asia,Bangladesh,2004,11.67,6.42,0,2.22,3.06
South-East Asia,Bangladesh,2005,11.2,6.01,0,2.08,3.01
South-East Asia,Bangladesh,2006,1.6,0.41,1.03,0.12,3.1
South-East Asia,Bangladesh,2007,1.5,0.43,0.97,0.03,0.08
South-East Asia,Bangladesh,2008,1.69,0.48,0.99,0.04,0.12
South-East Asia,Bangladesh,2009,9.46,2.25,0.01,2.62,3.14
South-East Asia,Bangladesh,2010,9.51,2.42,0.14,2.23,4.88
South-East Asia,Bangladesh,2011,7.46,2.11,0.07,1.49,4.54
South-East Asia,Bangladesh,2012,9.75,3.73,0.01,5.6,0.32
South-East Asia,Bangladesh,2013,8.92,3.86,0.31,4.26,0.47
Americas,Barbados,2000,8.25,3.58,0.23,3.94,0.42
